,patch_number,VegetationIndex,Patch_Area,VI_Area,Pure_GaborArea,AreaSum,Unknown_Area,class,Normalized_VI_Area,Normalized_Pure_GaborArea,Normalized_Unknown_Area
89,1536_1792_6144_6400,MSAVI,65536,34308,6470.0,40778.0,24758.0,best,0.52349853515625,0.098724365234375,0.377777099609375
90,1536_1792_6400_6656,MSAVI,65536,36189,9401.0,45590.0,19946.0,best,0.5522003173828125,0.1434478759765625,0.304351806640625
91,1536_1792_6656_6912,MSAVI,65536,39713,6945.0,46658.0,18878.0,best,0.6059722900390625,0.1059722900390625,0.288055419921875
92,1536_1792_6912_7168,MSAVI,65536,38012,7518.0,45530.0,20006.0,best,0.58001708984375,0.114715576171875,0.305267333984375
93,1536_1792_7168_7424,MSAVI,65536,39933,2391.0,42324.0,23212.0,best,0.6093292236328125,0.0364837646484375,0.35418701171875
94,1536_1792_7424_7680,MSAVI,65536,44995,9007.0,54002.0,11534.0,best,0.6865692138671875,0.1374359130859375,0.175994873046875
95,1536_1792_7680_7936,MSAVI,65536,45072,7182.0,52254.0,13282.0,best,0.687744140625,0.109588623046875,0.202667236328125
96,1792_2048_1792_2048,MSAVI,65536,31301,4057.0,35358.0,30178.0,best,0.4776153564453125,0.0619049072265625,0.460479736328125
97,1792_2048_2048_2304,MSAVI,65536,31901,7315.0,39216.0,26320.0,best,0.4867706298828125,0.1116180419921875,0.401611328125
98,1792_2048_2304_2560,MSAVI,65536,34398,6199.0,40597.0,24939.0,best,0.524871826171875,0.0945892333984375,0.3805389404296875
99,1792_2048_2560_2816,MSAVI,65536,39949,11224.0,51173.0,14363.0,best,0.6095733642578125,0.1712646484375,0.2191619873046875
100,1792_2048_2816_3072,MSAVI,65536,37886,3490.0,41376.0,24160.0,best,0.578094482421875,0.053253173828125,0.36865234375
101,1792_2048_3072_3328,MSAVI,65536,38313,3988.0,42301.0,23235.0,best,0.5846099853515625,0.06085205078125,0.3545379638671875
102,1792_2048_3328_3584,MSAVI,65536,42004,3359.0,45363.0,20173.0,best,0.64093017578125,0.0512542724609375,0.3078155517578125
103,1792_2048_3584_3840,MSAVI,65536,37714,6318.0,44032.0,21504.0,best,0.575469970703125,0.096405029296875,0.328125
104,1792_2048_3840_4096,MSAVI,65536,37451,3066.0,40517.0,25019.0,best,0.5714569091796875,0.046783447265625,0.3817596435546875
105,1792_2048_4096_4352,MSAVI,65536,34536,5242.0,39778.0,25758.0,best,0.5269775390625,0.079986572265625,0.393035888671875
106,1792_2048_4352_4608,MSAVI,65536,41382,5521.0,46903.0,18633.0,best,0.631439208984375,0.0842437744140625,0.2843170166015625
107,1792_2048_4608_4864,MSAVI,65536,37879,13651.0,51530.0,14006.0,best,0.5779876708984375,0.2082977294921875,0.213714599609375
108,1792_2048_4864_5120,MSAVI,65536,37782,7002.0,44784.0,20752.0,best,0.576507568359375,0.106842041015625,0.316650390625
109,1792_2048_5120_5376,MSAVI,65536,35726,8245.0,43971.0,21565.0,best,0.545135498046875,0.1258087158203125,0.3290557861328125
110,1792_2048_5376_5632,MSAVI,65536,35559,6112.0,41671.0,23865.0,best,0.5425872802734375,0.09326171875,0.3641510009765625
111,1792_2048_5632_5888,MSAVI,65536,35983,4054.0,40037.0,25499.0,best,0.5490570068359375,0.061859130859375,0.3890838623046875
112,1792_2048_5888_6144,MSAVI,65536,35696,4166.0,39862.0,25674.0,best,0.544677734375,0.063568115234375,0.391754150390625
113,1792_2048_6144_6400,MSAVI,65536,38993,5296.0,44289.0,21247.0,best,0.5949859619140625,0.080810546875,0.3242034912109375
114,1792_2048_6400_6656,MSAVI,65536,39209,3793.0,43002.0,22534.0,best,0.5982818603515625,0.0578765869140625,0.343841552734375
115,1792_2048_6656_6912,MSAVI,65536,39453,6327.0,45780.0,19756.0,best,0.6020050048828125,0.0965423583984375,0.30145263671875
116,1792_2048_6912_7168,MSAVI,65536,37718,3656.0,41374.0,24162.0,best,0.575531005859375,0.0557861328125,0.368682861328125
117,1792_2048_7168_7424,MSAVI,65536,40049,3199.0,43248.0,22288.0,best,0.6110992431640625,0.0488128662109375,0.340087890625
118,1792_2048_7424_7680,MSAVI,65536,48489,4290.0,52779.0,12757.0,best,0.7398834228515625,0.065460205078125,0.1946563720703125
119,1792_2048_7680_7936,MSAVI,65536,44324,3068.0,47392.0,18144.0,best,0.67633056640625,0.04681396484375,0.27685546875
120,1792_2048_7936_8192,MSAVI,65536,41072,2769.0,43841.0,21695.0,best,0.626708984375,0.0422515869140625,0.3310394287109375
