patch_number,VegetationIndex,Patch_Area,VI_Area,Pure_GaborArea,AreaSum,Unknown_Area,class,Normalized_VI_Area,Normalized_Pure_GaborArea,Normalized_Unknown_Area
1536_1792_8704_8960,MSAVI,65535,38619,1128.0,39747.0,25788.0,best,0.5892881666285191,0.017212176699473565,0.3934996566720073
1536_1792_8960_9216,MSAVI,65535,36184,3361.0,39545.0,25990.0,best,0.5521324483100634,0.05128557259479667,0.39658197909514
1536_1792_9216_9472,MSAVI,65535,38984,3755.0,42739.0,22796.0,best,0.5948577096208133,0.05729762722209506,0.3478446631570916
1536_1792_9472_9728,MSAVI,65535,41534,703.0,42237.0,23298.0,best,0.6337682154573892,0.010727092393377585,0.35550469214923325
1536_1792_9728_9984,MSAVI,65535,41691,943.0,42634.0,22901.0,best,0.6361638818951705,0.014389257648584725,0.34944686045624473
1536_1792_9984_10240,MSAVI,65535,40948,2047.0,42995.0,22540.0,best,0.6248264286259251,0.031235217822537575,0.34393835355153735
1536_1792_10240_10496,MSAVI,65535,38569,1132.0,39701.0,25834.0,best,0.5885252155336843,0.01727321278706035,0.39420157167925535
1536_1792_10496_10752,MSAVI,65535,37020,3151.0,40171.0,25364.0,best,0.5648889906157015,0.04808117799649043,0.38702983138780805
1536_1792_10752_11008,MSAVI,65535,35595,4011.0,39606.0,25929.0,best,0.5431448844129091,0.061203936827649345,0.3956511787594415
1792_2048_512_768,MSAVI,65535,45152,2461.0,47613.0,17922.0,best,0.6889753566796368,0.03755245288776989,0.2734721904325933
1792_2048_768_1024,MSAVI,65535,47575,1083.0,48658.0,16877.0,best,0.7259479667353322,0.016525520714122225,0.2575265125505455
1792_2048_1024_1280,MSAVI,65534,45969,1352.0,47321.0,18213.0,best,0.7014526810510575,0.020630512405774102,0.2779168065431684
1792_2048_1280_1536,MSAVI,65535,42351,2509.0,44860.0,20675.0,best,0.6462348363469902,0.038284885938811325,0.3154802777141985
1792_2048_1536_1792,MSAVI,65535,43515,2042.0,45557.0,19978.0,best,0.6639963378347448,0.031158922713054094,0.30484473945220114
1792_2048_1792_2048,MSAVI,65535,43436,1712.0,45148.0,20387.0,best,0.6627908751049058,0.026123445487144275,0.31108567940794996
1792_2048_2048_2304,MSAVI,65535,39468,4474.0,43942.0,21593.0,best,0.6022430762188143,0.06826886396581978,0.32948805981536583
1792_2048_2304_2560,MSAVI,65535,45761,2931.0,48692.0,16843.0,best,0.6982681010147249,0.04472419317921721,0.2570077058060578
1792_2048_2560_2816,MSAVI,65535,44515,2567.0,47082.0,18453.0,best,0.6792553597314412,0.039169909208819714,0.28157473105973907
1792_2048_2816_3072,MSAVI,65535,40433,925.0,41358.0,24177.0,best,0.6169680323491264,0.01411459525444419,0.3689173723964294
1792_2048_3072_3328,MSAVI,65535,42199,575.0,42774.0,22761.0,best,0.6439154650186923,0.008773937590600443,0.34731059739070724
1792_2048_3328_3584,MSAVI,65535,40235,2463.0,42698.0,22837.0,best,0.6139467460135806,0.037582970931563285,0.34847028305485617
1792_2048_3584_3840,MSAVI,65535,42254,1422.0,43676.0,21859.0,best,0.6447547112230106,0.02169832913710231,0.33354695963988706
1792_2048_3840_4096,MSAVI,65535,44236,6700.0,50936.0,14599.0,best,0.674998092622263,0.10223544670786602,0.22276646066987107
1792_2048_4096_4352,MSAVI,65535,42812,2566.0,45378.0,20157.0,best,0.6532692454413672,0.03915465018692302,0.3075761043717098
1792_2048_4352_4608,MSAVI,65535,43205,3065.0,46270.0,19265.0,best,0.6592660410467689,0.04676890211337453,0.2939650568398566
1792_2048_4608_4864,MSAVI,65535,43553,419.0,43972.0,21563.0,best,0.6645761806668192,0.0063935301747158006,0.32903028915846494
1792_2048_4864_5120,MSAVI,65535,42467,933.0,43400.0,22135.0,best,0.648004882887007,0.014236667429617761,0.3377584496833753
1792_2048_5120_5376,MSAVI,65535,44018,1886.0,45904.0,19631.0,best,0.671671625848783,0.02877851529716945,0.29954985885404745
1792_2048_5376_5632,MSAVI,65535,43998,1474.0,45472.0,20063.0,best,0.6713664454108491,0.022491798275730526,0.30614175631342033
1792_2048_5632_5888,MSAVI,65535,42493,2302.0,44795.0,20740.0,best,0.6484016174563211,0.03512626840619516,0.3164721141374838
1792_2048_5888_6144,MSAVI,65535,41823,3125.0,44948.0,20587.0,best,0.6381780727855344,0.047684443427176315,0.31413748378728923
1792_2048_6144_6400,MSAVI,65535,43070,4877.0,47947.0,17588.0,best,0.6572060730907149,0.07441824979018845,0.26837567711909666
1792_2048_6400_6656,MSAVI,65535,44738,2337.0,47075.0,18460.0,best,0.6826581216144045,0.035660334172579536,0.28168154421301594
1792_2048_6656_6912,MSAVI,65535,43596,7344.0,50940.0,14595.0,best,0.6652323186083772,0.11206225680933853,0.2227054245822843
1792_2048_6912_7168,MSAVI,65535,43486,3064.0,46550.0,18985.0,best,0.6635538261997406,0.04675364309147784,0.2896925307087816
1792_2048_7168_7424,MSAVI,65535,42871,3393.0,46264.0,19271.0,best,0.6541695277332723,0.05177386129549096,0.29405661097123675
1792_2048_7424_7680,MSAVI,65535,41314,4830.0,46144.0,19391.0,best,0.630411230640116,0.07370107576104372,0.2958876935988403
1792_2048_7680_7936,MSAVI,65535,38742,2903.0,41645.0,23890.0,best,0.5911650263218128,0.044296940566109715,0.3645380331120775
1792_2048_7936_8192,MSAVI,65535,39581,4123.0,43704.0,21831.0,best,0.603967345693141,0.06291294728007935,0.33311970702677957
1792_2048_8192_8448,MSAVI,65535,36672,1991.0,38663.0,26872.0,best,0.5595788509956512,0.030380712596322575,0.41004043640802623
1792_2048_8448_8704,MSAVI,65535,40585,3887.0,44472.0,21063.0,best,0.6192874036774243,0.05931181811245899,0.32140077821011676
1792_2048_8704_8960,MSAVI,65535,41483,1156.0,42639.0,22896.0,best,0.6329900053406576,0.017639429312581063,0.34937056534676125
1792_2048_8960_9216,MSAVI,65535,38776,1761.0,40537.0,24998.0,best,0.5916838330663005,0.0268711375600824,0.38144502937361713
1792_2048_9216_9472,MSAVI,65535,40486,1384.0,41870.0,23665.0,best,0.6177767605096514,0.02111848630502785,0.3611047531853208
1792_2048_9472_9728,MSAVI,65535,40022,1416.0,41438.0,24097.0,best,0.6106965743495842,0.021606775005722133,0.3676966506446937
1792_2048_9728_9984,MSAVI,65535,41159,1038.0,42197.0,23338.0,best,0.628046082246128,0.015838864728770885,0.3561150530251011
