,patch_number,VegetationIndex,Patch_Area,VI_Area,Pure_GaborArea,AreaSum,Unknown_Area,class,Normalized_VI_Area,Normalized_Pure_GaborArea,Normalized_Unknown_Area
126,2048_2304_5120_5376,MSAVI,65536,40439,7652.0,48091.0,17445.0,best,0.6170501708984375,0.11676025390625,0.2661895751953125
127,2048_2304_5376_5632,MSAVI,65536,36823,5025.0,41848.0,23688.0,best,0.5618743896484375,0.0766754150390625,0.3614501953125
128,2048_2304_5632_5888,MSAVI,65536,36123,5288.0,41411.0,24125.0,best,0.5511932373046875,0.0806884765625,0.3681182861328125
129,2048_2304_5888_6144,MSAVI,65536,37007,6264.0,43271.0,22265.0,best,0.5646820068359375,0.0955810546875,0.3397369384765625
130,2048_2304_6144_6400,MSAVI,65536,35384,9281.0,44665.0,20871.0,best,0.5399169921875,0.1416168212890625,0.3184661865234375
131,2048_2304_6400_6656,MSAVI,65536,36897,6663.0,43560.0,21976.0,best,0.5630035400390625,0.1016693115234375,0.3353271484375
132,2048_2304_6656_6912,MSAVI,65536,38518,7427.0,45945.0,19591.0,best,0.587738037109375,0.1133270263671875,0.2989349365234375
133,2048_2304_6912_7168,MSAVI,65536,37451,11301.0,48752.0,16784.0,best,0.5714569091796875,0.1724395751953125,0.256103515625
134,2048_2304_7168_7424,MSAVI,65536,37266,6799.0,44065.0,21471.0,best,0.568634033203125,0.1037445068359375,0.3276214599609375
135,2048_2304_7424_7680,MSAVI,65536,43188,4771.0,47959.0,17577.0,best,0.65899658203125,0.0727996826171875,0.2682037353515625
136,2048_2304_7680_7936,MSAVI,65536,40794,6315.0,47109.0,18427.0,best,0.622467041015625,0.0963592529296875,0.2811737060546875
137,2048_2304_7936_8192,MSAVI,65536,38689,5989.0,44678.0,20858.0,best,0.5903472900390625,0.0913848876953125,0.318267822265625
138,2048_2304_8192_8448,MSAVI,65536,37188,5825.0,43013.0,22523.0,best,0.56744384765625,0.0888824462890625,0.3436737060546875
139,2048_2304_8448_8704,MSAVI,65536,35303,9750.0,45053.0,20483.0,best,0.5386810302734375,0.148773193359375,0.3125457763671875
140,2048_2304_8704_8960,MSAVI,65536,35988,6303.0,42291.0,23245.0,best,0.54913330078125,0.0961761474609375,0.3546905517578125
141,2048_2304_8960_9216,MSAVI,65536,38595,7487.0,46082.0,19454.0,best,0.5889129638671875,0.1142425537109375,0.296844482421875
142,2304_2560_1536_1792,MSAVI,65497,37840,2608.0,40448.0,25049.0,best,0.5777363848725896,0.039818617646609766,0.38244499748080063
143,2304_2560_1792_2048,MSAVI,65536,37819,3160.0,40979.0,24557.0,best,0.5770721435546875,0.0482177734375,0.3747100830078125
144,2304_2560_2048_2304,MSAVI,65536,34639,8004.0,42643.0,22893.0,best,0.5285491943359375,0.12213134765625,0.3493194580078125
145,2304_2560_2304_2560,MSAVI,65536,34144,7025.0,41169.0,24367.0,best,0.52099609375,0.1071929931640625,0.3718109130859375
146,2304_2560_2560_2816,MSAVI,65536,35100,11505.0,46605.0,18931.0,best,0.53558349609375,0.1755523681640625,0.2888641357421875
147,2304_2560_2816_3072,MSAVI,65536,35664,5684.0,41348.0,24188.0,best,0.544189453125,0.08673095703125,0.36907958984375
148,2304_2560_3072_3328,MSAVI,65536,41969,11595.0,53564.0,11972.0,best,0.6403961181640625,0.1769256591796875,0.18267822265625
149,2304_2560_3328_3584,MSAVI,65536,37454,5194.0,42648.0,22888.0,best,0.571502685546875,0.079254150390625,0.3492431640625
150,2304_2560_3584_3840,MSAVI,65536,39773,12139.0,51912.0,13624.0,best,0.6068878173828125,0.1852264404296875,0.2078857421875
151,2304_2560_3840_4096,MSAVI,65536,38716,14892.0,53608.0,11928.0,best,0.59075927734375,0.22723388671875,0.1820068359375
152,2304_2560_4096_4352,MSAVI,65536,36237,19751.0,55988.0,9548.0,best,0.5529327392578125,0.3013763427734375,0.14569091796875
153,2304_2560_4352_4608,MSAVI,65536,34691,9682.0,44373.0,21163.0,best,0.5293426513671875,0.147735595703125,0.3229217529296875
154,2304_2560_4608_4864,MSAVI,65536,35272,13592.0,48864.0,16672.0,best,0.5382080078125,0.2073974609375,0.25439453125
155,2304_2560_4864_5120,MSAVI,65536,35705,15727.0,51432.0,14104.0,best,0.5448150634765625,0.2399749755859375,0.2152099609375
156,2304_2560_5120_5376,MSAVI,65536,38023,13350.0,51373.0,14163.0,best,0.5801849365234375,0.203704833984375,0.2161102294921875
157,2304_2560_5376_5632,MSAVI,65536,40003,5272.0,45275.0,20261.0,best,0.6103973388671875,0.0804443359375,0.3091583251953125
158,2304_2560_5632_5888,MSAVI,65536,37180,8520.0,45700.0,19836.0,best,0.56732177734375,0.1300048828125,0.30267333984375
159,2304_2560_5888_6144,MSAVI,65536,35823,11938.0,47761.0,17775.0,best,0.5466156005859375,0.182159423828125,0.2712249755859375
160,2304_2560_6144_6400,MSAVI,65536,34483,13609.0,48092.0,17444.0,best,0.5261688232421875,0.2076568603515625,0.26617431640625
161,2304_2560_6400_6656,MSAVI,65536,35122,5959.0,41081.0,24455.0,best,0.535919189453125,0.0909271240234375,0.3731536865234375
162,2304_2560_6656_6912,MSAVI,65536,35984,12359.0,48343.0,17193.0,best,0.549072265625,0.1885833740234375,0.2623443603515625
163,2304_2560_6912_7168,MSAVI,65536,38879,5354.0,44233.0,21303.0,best,0.5932464599609375,0.081695556640625,0.3250579833984375
164,2304_2560_7168_7424,MSAVI,65536,37308,4852.0,42160.0,23376.0,best,0.56927490234375,0.07403564453125,0.356689453125
165,2304_2560_7424_7680,MSAVI,65536,39762,9772.0,49534.0,16002.0,best,0.606719970703125,0.14910888671875,0.244171142578125
166,2304_2560_7680_7936,MSAVI,65536,37852,10752.0,48604.0,16932.0,best,0.57757568359375,0.1640625,0.25836181640625
167,2304_2560_7936_8192,MSAVI,65536,39437,10083.0,49520.0,16016.0,best,0.6017608642578125,0.1538543701171875,0.244384765625
168,2304_2560_8192_8448,MSAVI,65536,37213,6065.0,43278.0,22258.0,best,0.5678253173828125,0.0925445556640625,0.339630126953125
169,2304_2560_8448_8704,MSAVI,65536,35288,10288.0,45576.0,19960.0,best,0.5384521484375,0.156982421875,0.3045654296875
170,2304_2560_8704_8960,MSAVI,65536,34293,13716.0,48009.0,17527.0,best,0.5232696533203125,0.20928955078125,0.2674407958984375
171,2304_2560_8960_9216,MSAVI,65536,36126,12514.0,48640.0,16896.0,best,0.551239013671875,0.190948486328125,0.2578125
172,2304_2560_9216_9472,MSAVI,65536,28474,1030.0,29504.0,36032.0,best,0.434478759765625,0.015716552734375,0.5498046875
173,2560_2816_1536_1792,MSAVI,65536,36945,4426.0,41371.0,24165.0,best,0.5637359619140625,0.067535400390625,0.3687286376953125
174,2560_2816_1792_2048,MSAVI,65536,37162,3208.0,40370.0,25166.0,best,0.567047119140625,0.0489501953125,0.384002685546875
175,2560_2816_2048_2304,MSAVI,65536,35774,8829.0,44603.0,20933.0,best,0.545867919921875,0.1347198486328125,0.3194122314453125
176,2560_2816_2304_2560,MSAVI,65536,35092,7219.0,42311.0,23225.0,best,0.53546142578125,0.1101531982421875,0.3543853759765625
177,2560_2816_2560_2816,MSAVI,65536,36936,4632.0,41568.0,23968.0,best,0.5635986328125,0.0706787109375,0.36572265625
178,2560_2816_2816_3072,MSAVI,65536,37417,8111.0,45528.0,20008.0,best,0.5709381103515625,0.1237640380859375,0.3052978515625
179,2560_2816_3072_3328,MSAVI,65536,33383,12061.0,45444.0,20092.0,best,0.5093841552734375,0.1840362548828125,0.30657958984375
180,2560_2816_3328_3584,MSAVI,65536,36317,6010.0,42327.0,23209.0,best,0.5541534423828125,0.091705322265625,0.3541412353515625
