patch_number,VegetationIndex,Patch_Area,VI_Area,Pure_GaborArea,AreaSum,Unknown_Area,class,Normalized_VI_Area,Normalized_Pure_GaborArea,Normalized_Unknown_Area
1536_1792_4352_4608,MSAVI,65535,41021,4679.0,45700.0,19835.0,best,0.6259403372243839,0.07139696345464255,0.3026626993209735
1536_1792_4608_4864,MSAVI,65535,34399,16708.0,51107.0,14428.0,best,0.5248950942244602,0.2549477378500038,0.22015716792553597
1536_1792_4864_5120,MSAVI,65535,38951,10589.0,49540.0,15995.0,best,0.5943541618982223,0.16157778286411842,0.24406805523765926
1536_1792_5120_5376,MSAVI,65535,41790,4281.0,46071.0,19464.0,best,0.6376745250629434,0.06532387273975739,0.29700160219729915
1536_1792_5376_5632,MSAVI,65535,38160,11196.0,49356.0,16179.0,best,0.5822842755779355,0.17084000915541314,0.24687571526665142
1536_1792_5632_5888,MSAVI,65535,36474,15625.0,52099.0,13436.0,best,0.5565575646601053,0.2384222171358816,0.20502021820401312
1536_1792_5888_6144,MSAVI,65535,39335,6629.0,45964.0,19571.0,best,0.6002136263065537,0.10115205615320058,0.29863431754024566
1536_1792_6144_6400,MSAVI,65535,36228,11266.0,47494.0,18041.0,best,0.552803845273518,0.1719081406881819,0.27528801403830017
1536_1792_6400_6656,MSAVI,65535,36078,15589.0,51667.0,13868.0,best,0.5505149919890135,0.2378728923476005,0.21161211566338597
1536_1792_6656_6912,MSAVI,65535,43277,12991.0,56268.0,9267.0,best,0.660364690623331,0.1982299534599832,0.14140535591668574
1536_1792_6912_7168,MSAVI,65535,37264,13893.0,51157.0,14378.0,best,0.5686121919584954,0.21199359121080338,0.21939421683070115
1536_1792_7168_7424,MSAVI,65535,36421,14253.0,50674.0,14861.0,best,0.5557488364995804,0.2174868390936141,0.22676432440680552
1536_1792_7424_7680,MSAVI,65535,38269,7803.0,46072.0,19463.0,best,0.5839475089646754,0.11906614785992217,0.29698634317540246
1536_1792_7680_7936,MSAVI,65535,36415,340.0,36755.0,28780.0,best,0.5556572823682002,0.005188067444876783,0.439154650186923
1536_1792_7936_8192,MSAVI,65535,42176,10097.0,52273.0,13262.0,best,0.6435645075150683,0.15407034409094378,0.20236514839398795
1536_1792_8192_8448,MSAVI,65535,35737,1302.0,37039.0,28496.0,best,0.54531166552224,0.01986724650949874,0.43482108796826124
1536_1792_8448_8704,MSAVI,65535,37759,11491.0,49250.0,16285.0,best,0.5761654077973601,0.17534142061493857,0.24849317158770123
1536_1792_8704_8960,MSAVI,65535,38607,4781.0,43388.0,22147.0,best,0.5891050583657588,0.0729533836881056,0.3379415579461357
1536_1792_8960_9216,MSAVI,65535,36421,9598.0,46019.0,19516.0,best,0.5557488364995804,0.14645609216449226,0.29779507133592736
1536_1792_9216_9472,MSAVI,65535,38516,5050.0,43566.0,21969.0,best,0.5877164873731594,0.07705806057831693,0.33522545204852366
1536_1792_9472_9728,MSAVI,65535,36663,522.0,37185.0,28350.0,best,0.5594415197985809,0.007965209430075532,0.4325932707713436
1536_1792_9728_9984,MSAVI,65535,38605,9514.0,48119.0,17416.0,best,0.5890745403219654,0.14517433432516977,0.2657511253528649
1536_1792_9984_10240,MSAVI,65535,35806,526.0,36332.0,29203.0,best,0.546364538033112,0.008026245517662317,0.44560921644922563
1536_1792_10240_10496,MSAVI,65535,35988,0.0,35988.0,29547.0,best,0.5491416800183109,0.0,0.4508583199816892
1536_1792_10496_10752,MSAVI,65535,36587,159.0,36746.0,28789.0,best,0.558281834134432,0.002426184481574731,0.4392919813839933
1536_1792_10752_11008,MSAVI,65535,34977,10830.0,45807.0,19728.0,best,0.5337148088807507,0.16525520714122224,0.301029983978027
1536_1792_11008_11264,MSAVI,65535,35542,15495.0,51037.0,14498.0,best,0.5423361562523842,0.23643854428931105,0.2212252994583047
1792_2048_768_1024,MSAVI,65535,36096,11101.0,47197.0,18338.0,best,0.5507896543831541,0.169390402075227,0.279819943541619
1792_2048_1024_1280,MSAVI,65535,37180,11137.0,48317.0,17218.0,best,0.5673304341191729,0.16993972686350806,0.262729839017319
1792_2048_1280_1536,MSAVI,65535,37523,5897.0,43420.0,22115.0,best,0.5725642786297398,0.0899824521248188,0.3374532692454414
1792_2048_1536_1792,MSAVI,65535,38289,6945.0,45234.0,20301.0,best,0.5842526894026093,0.10597390707255665,0.30977340352483407
